,var_name,Contrast,A,B,Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
0,logRelF0-H1-H2_sma3nz_amean,task,book,pic,True,True,-2.2533320447205947,230.0,two-sided,0.025181157607771655,0.025181157607771655,fdr_bh,0.88,-0.11147489372691917
1,logRelF0-H1-H2_sma3nz_amean,task,book,vac,True,True,-6.188768444131602,230.0,two-sided,2.7534507075390842e-09,8.260352122617253e-09,fdr_bh,2.967e+06,-0.41290041654749043
2,logRelF0-H1-H2_sma3nz_amean,task,pic,vac,True,True,-3.440487939978048,230.0,two-sided,0.0006894531586348235,0.0010341797379522354,fdr_bh,22.047,-0.24495108965859455
1,logRelF0-H1-A3_sma3nz_amean,task,book,vac,True,True,-11.56060358440138,230.0,two-sided,1.1355946121904349e-24,3.406783836571305e-24,fdr_bh,3.295e+21,-0.5551880930049166
2,logRelF0-H1-A3_sma3nz_amean,task,pic,vac,True,True,-10.249400728591663,230.0,two-sided,1.511875840401055e-20,2.2678137606015824e-20,fdr_bh,2.898e+17,-0.5973694321639451
1,logRelF0-H1-A3_sma3nz_amean,task,book,vac,True,True,-11.56060358440138,230.0,two-sided,1.1355946121904349e-24,3.406783836571305e-24,fdr_bh,3.295e+21,-0.5551880930049166
2,logRelF0-H1-A3_sma3nz_amean,task,pic,vac,True,True,-10.249400728591663,230.0,two-sided,1.511875840401055e-20,2.2678137606015824e-20,fdr_bh,2.898e+17,-0.5973694321639451
0,F1frequency_sma3nz_amean,task,book,pic,True,True,-8.805626581188783,230.0,two-sided,3.1957710553164007e-16,4.793656582974601e-16,fdr_bh,1.666e+13,-0.4610430790749139
2,F1frequency_sma3nz_amean,task,pic,vac,True,True,10.523553122138146,230.0,two-sided,2.1386316974060654e-21,6.415895092218196e-21,fdr_bh,1.979e+18,0.5893863172024331
0,F1frequency_sma3nz_stddevNorm,task,book,pic,True,True,-4.37404041564301,230.0,two-sided,1.849425845979981e-05,2.7741387689699714e-05,fdr_bh,646.561,-0.24387653408815343
2,F1frequency_sma3nz_stddevNorm,task,pic,vac,True,True,5.149508126524129,230.0,two-sided,5.606648022000282e-07,1.6819944066000847e-06,fdr_bh,1.792e+04,0.24443796230481749
1,F1bandwidth_sma3nz_amean,task,book,vac,True,True,7.973963819792801,230.0,two-sided,7.173454585263271e-14,1.0760181877894907e-13,fdr_bh,8.404e+10,0.45850315133885
2,F1bandwidth_sma3nz_amean,task,pic,vac,True,True,13.128783739614988,230.0,two-sided,9.324157307255035e-30,2.7972471921765107e-29,fdr_bh,3.392e+26,0.5732669994099283
0,F1bandwidth_sma3nz_stddevNorm,task,book,pic,True,True,-6.882809347673539,230.0,two-sided,5.521018337018215e-11,8.281527505527323e-11,fdr_bh,1.306e+08,-0.33084527886539855
1,F1bandwidth_sma3nz_stddevNorm,task,book,vac,True,True,-14.180032862541767,230.0,two-sided,3.2315050699627944e-33,9.694515209888383e-33,fdr_bh,8.836e+29,-0.6425940176652124
2,F1bandwidth_sma3nz_stddevNorm,task,pic,vac,True,True,-3.6029774126743552,230.0,two-sided,0.0003855338938700336,0.0003855338938700336,fdr_bh,37.705,-0.2032972487375737
0,F1amplitudeLogRelF0_sma3nz_amean,task,book,pic,True,True,10.916175951903197,230.0,two-sided,1.2617606067765883e-22,1.2617606067765883e-22,fdr_bh,3.198e+19,0.4461372402941539
1,F1amplitudeLogRelF0_sma3nz_amean,task,book,vac,True,True,21.423281079031597,230.0,two-sided,1.033928965608617e-56,3.101786896825851e-56,fdr_bh,1.615e+53,1.190767099534575
2,F1amplitudeLogRelF0_sma3nz_amean,task,pic,vac,True,True,12.18133775765721,230.0,two-sided,1.1410998041807034e-26,1.7116497062710552e-26,fdr_bh,3.06e+23,0.6554757889550324
0,F1amplitudeLogRelF0_sma3nz_stddevNorm,task,book,pic,True,True,-12.64440366310113,230.0,two-sided,3.5730495342951507e-28,5.359574301442726e-28,fdr_bh,9.303e+24,-0.5721814509473923
